,PhoneService,InternetService,OnlineSecurity,Contract,PaperlessBilling,PaymentMethod
1570,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
1571,Yes,No,No internet service,Month-to-month,No,Mailed check
1572,Yes,DSL,No,Month-to-month,No,Electronic check
1573,Yes,Fiber optic,Yes,One year,Yes,Electronic check
1574,Yes,No,No internet service,One year,No,Mailed check
1575,Yes,Fiber optic,No,Month-to-month,No,Electronic check
1576,Yes,DSL,No,One year,Yes,Bank transfer (automatic)
1577,Yes,Fiber optic,No,One year,No,Bank transfer (automatic)
1578,Yes,DSL,No,Month-to-month,Yes,Mailed check
1579,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1580,Yes,DSL,No,One year,No,Bank transfer (automatic)
1581,No,DSL,No,Month-to-month,Yes,Mailed check
1582,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
1583,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
1584,No,DSL,No,Two year,Yes,Bank transfer (automatic)
1585,Yes,DSL,Yes,One year,No,Credit card (automatic)
1586,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic)
1587,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
1588,Yes,Fiber optic,No,One year,Yes,Electronic check
1589,Yes,DSL,No,Month-to-month,Yes,Electronic check
1590,Yes,No,No internet service,Two year,No,Electronic check
1591,Yes,No,No internet service,Month-to-month,No,Credit card (automatic)
1592,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
1593,Yes,No,No internet service,Month-to-month,No,Mailed check
1594,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
1595,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1596,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1597,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic)
1598,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
1599,Yes,DSL,No,Two year,Yes,Bank transfer (automatic)
1600,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1601,Yes,Fiber optic,No,One year,Yes,Electronic check
1602,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1603,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
1604,Yes,Fiber optic,No,One year,No,Credit card (automatic)
1605,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
1606,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
1607,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1608,Yes,No,No internet service,One year,Yes,Mailed check
1609,Yes,Fiber optic,Yes,One year,Yes,Electronic check
1610,Yes,DSL,Yes,Two year,No,Credit card (automatic)
1611,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic)
1612,Yes,Fiber optic,No,One year,No,Electronic check
1613,Yes,No,No internet service,Month-to-month,No,Mailed check
1614,No,DSL,Yes,Two year,Yes,Bank transfer (automatic)
1615,Yes,No,No internet service,One year,Yes,Bank transfer (automatic)
1616,Yes,No,No internet service,Two year,Yes,Mailed check
1617,Yes,DSL,No,Month-to-month,No,Electronic check
1618,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1619,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
1620,No,DSL,No,Month-to-month,No,Bank transfer (automatic)
1621,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1622,Yes,DSL,Yes,One year,No,Mailed check
1623,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
1624,Yes,Fiber optic,No,One year,Yes,Electronic check
1625,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1626,Yes,DSL,Yes,Month-to-month,No,Bank transfer (automatic)
1627,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
1628,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1629,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
1630,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1631,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
1632,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
1633,Yes,DSL,No,Month-to-month,No,Electronic check
1634,No,DSL,Yes,Two year,No,Electronic check
1635,Yes,DSL,No,One year,Yes,Electronic check
1636,Yes,No,No internet service,One year,No,Bank transfer (automatic)
1637,No,DSL,No,One year,No,Credit card (automatic)
1638,Yes,Fiber optic,No,Two year,Yes,Credit card (automatic)
1639,Yes,DSL,No,Month-to-month,Yes,Electronic check
1640,Yes,No,No internet service,One year,No,Mailed check
1641,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic)
1642,Yes,No,No internet service,Month-to-month,No,Mailed check
1643,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1644,Yes,Fiber optic,Yes,Month-to-month,Yes,Mailed check
1645,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1646,Yes,DSL,Yes,One year,No,Mailed check
1647,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1648,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
1649,Yes,DSL,No,Month-to-month,Yes,Mailed check
1650,Yes,Fiber optic,No,Month-to-month,No,Mailed check
1651,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1652,No,DSL,Yes,Month-to-month,No,Mailed check
1653,Yes,No,No internet service,Two year,No,Mailed check
1654,Yes,No,No internet service,One year,No,Mailed check
1655,Yes,DSL,No,Month-to-month,No,Mailed check
1656,Yes,Fiber optic,Yes,Month-to-month,No,Electronic check
1657,Yes,No,No internet service,Month-to-month,Yes,Electronic check
1658,Yes,Fiber optic,Yes,Month-to-month,No,Credit card (automatic)
1659,Yes,DSL,No,Two year,No,Credit card (automatic)
1660,Yes,No,No internet service,Month-to-month,No,Electronic check
1661,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1662,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1663,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1664,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic)
1665,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1666,Yes,No,No internet service,Two year,No,Mailed check
1667,Yes,No,No internet service,One year,Yes,Credit card (automatic)
1668,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
1669,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
1670,Yes,DSL,No,Month-to-month,Yes,Mailed check
1671,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic)
1672,Yes,DSL,Yes,Two year,No,Credit card (automatic)
1673,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
1674,Yes,No,No internet service,Two year,No,Mailed check
1675,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1676,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
1677,Yes,No,No internet service,Two year,No,Mailed check
1678,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic)
1679,Yes,DSL,No,Month-to-month,Yes,Mailed check
1680,Yes,No,No internet service,One year,Yes,Mailed check
1681,Yes,No,No internet service,Two year,No,Credit card (automatic)
1682,Yes,DSL,Yes,Two year,Yes,Electronic check
1683,Yes,No,No internet service,Two year,No,Credit card (automatic)
1684,Yes,DSL,No,Month-to-month,No,Mailed check
1685,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1686,Yes,DSL,No,Month-to-month,Yes,Electronic check
1687,Yes,No,No internet service,One year,No,Mailed check
1688,Yes,No,No internet service,Two year,No,Mailed check
1689,No,DSL,Yes,Month-to-month,No,Mailed check
1690,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
1691,Yes,No,No internet service,Two year,No,Credit card (automatic)
1692,No,DSL,No,One year,Yes,Credit card (automatic)
1693,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic)
1694,No,DSL,No,Month-to-month,Yes,Electronic check
1695,Yes,DSL,No,One year,Yes,Electronic check
1696,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1697,Yes,DSL,Yes,Two year,No,Credit card (automatic)
1698,Yes,Fiber optic,No,Two year,Yes,Electronic check
1699,Yes,No,No internet service,One year,Yes,Mailed check
1700,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
1701,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
1702,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
1703,No,DSL,No,Month-to-month,Yes,Electronic check
1704,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1705,Yes,Fiber optic,No,Month-to-month,No,Electronic check
1706,Yes,Fiber optic,No,Two year,Yes,Credit card (automatic)
1707,Yes,Fiber optic,No,Month-to-month,No,Electronic check
1708,Yes,DSL,No,Month-to-month,Yes,Electronic check
1709,Yes,DSL,No,Two year,Yes,Credit card (automatic)
1710,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1711,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
1712,Yes,DSL,No,One year,Yes,Electronic check
1713,Yes,DSL,No,Month-to-month,No,Bank transfer (automatic)
1714,Yes,DSL,Yes,One year,No,Credit card (automatic)
1715,Yes,No,No internet service,Two year,No,Mailed check
1716,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
1717,Yes,No,No internet service,Two year,No,Credit card (automatic)
1718,Yes,No,No internet service,One year,No,Bank transfer (automatic)
1719,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1720,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1721,Yes,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic)
1722,No,DSL,No,One year,Yes,Credit card (automatic)
1723,Yes,No,No internet service,Two year,No,Mailed check
1724,Yes,Fiber optic,No,Month-to-month,No,Electronic check
1725,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1726,Yes,DSL,No,Month-to-month,No,Electronic check
1727,Yes,DSL,No,Month-to-month,Yes,Electronic check
1728,Yes,DSL,Yes,Two year,No,Bank transfer (automatic)
1729,Yes,Fiber optic,Yes,One year,No,Bank transfer (automatic)
1730,Yes,DSL,No,Month-to-month,Yes,Electronic check
1731,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1732,Yes,Fiber optic,No,One year,No,Electronic check
1733,Yes,No,No internet service,Month-to-month,No,Mailed check
1734,No,DSL,No,Month-to-month,Yes,Electronic check
1735,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic)
1736,Yes,No,No internet service,Month-to-month,No,Mailed check
1737,Yes,DSL,No,Month-to-month,Yes,Mailed check
1738,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
1739,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1740,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic)
1741,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
1742,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1743,Yes,No,No internet service,Two year,No,Credit card (automatic)
1744,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic)
1745,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
1746,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic)
1747,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1748,Yes,No,No internet service,Two year,No,Credit card (automatic)
1749,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1750,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
1751,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1752,Yes,DSL,Yes,One year,No,Credit card (automatic)
1753,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic)
1754,Yes,DSL,Yes,One year,Yes,Credit card (automatic)
1755,Yes,DSL,No,Month-to-month,Yes,Electronic check
1756,Yes,DSL,No,One year,No,Bank transfer (automatic)
1757,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
1758,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
1759,Yes,No,No internet service,Month-to-month,No,Mailed check
1760,Yes,DSL,No,One year,No,Bank transfer (automatic)
1761,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
1762,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1763,Yes,DSL,No,Month-to-month,Yes,Electronic check
1764,Yes,DSL,Yes,Two year,No,Mailed check
1765,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic)
1766,Yes,No,No internet service,One year,Yes,Mailed check
1767,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
1768,Yes,DSL,No,One year,No,Credit card (automatic)
1769,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1770,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
1771,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1772,Yes,Fiber optic,No,Month-to-month,No,Electronic check
1773,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
1774,Yes,DSL,Yes,Month-to-month,Yes,Mailed check
1775,Yes,Fiber optic,Yes,Two year,Yes,Electronic check
1776,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
1777,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
1778,Yes,No,No internet service,Two year,No,Credit card (automatic)
1779,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
1780,Yes,No,No internet service,One year,No,Bank transfer (automatic)
1781,Yes,Fiber optic,No,One year,Yes,Electronic check
1782,Yes,DSL,No,Month-to-month,Yes,Electronic check
1783,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1784,Yes,No,No internet service,Month-to-month,No,Mailed check
1785,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
1786,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
1787,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic)
1788,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
1789,No,DSL,No,Month-to-month,No,Electronic check
1790,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic)
1791,Yes,DSL,Yes,One year,Yes,Mailed check
1792,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
1793,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
1794,Yes,DSL,Yes,Two year,No,Mailed check
1795,Yes,Fiber optic,No,Month-to-month,No,Mailed check
1796,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
1797,Yes,No,No internet service,Two year,No,Credit card (automatic)
1798,Yes,No,No internet service,One year,No,Bank transfer (automatic)
1799,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
1800,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
1801,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
1802,No,DSL,Yes,Two year,No,Mailed check
1803,No,DSL,Yes,Two year,Yes,Mailed check
1804,Yes,No,No internet service,Month-to-month,No,Mailed check
1805,Yes,DSL,Yes,Two year,No,Credit card (automatic)
1806,Yes,No,No internet service,Two year,No,Credit card (automatic)
1807,Yes,Fiber optic,No,Month-to-month,No,Electronic check
1808,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1809,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1810,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic)
1811,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
1812,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
1813,Yes,DSL,No,Month-to-month,Yes,Electronic check
1814,Yes,No,No internet service,Two year,No,Mailed check
1815,Yes,No,No internet service,Two year,No,Credit card (automatic)
1816,Yes,No,No internet service,Month-to-month,No,Mailed check
1817,Yes,Fiber optic,No,Two year,No,Bank transfer (automatic)
1818,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic)
1819,No,DSL,No,Two year,No,Credit card (automatic)
1820,Yes,DSL,No,Month-to-month,No,Mailed check
1821,Yes,Fiber optic,No,Month-to-month,No,Electronic check
1822,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
1823,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
1824,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
1825,Yes,DSL,No,Month-to-month,Yes,Electronic check
1826,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1827,No,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
1828,Yes,No,No internet service,One year,No,Electronic check
1829,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1830,Yes,No,No internet service,Two year,No,Mailed check
1831,Yes,DSL,Yes,Month-to-month,Yes,Mailed check
1832,No,DSL,No,Month-to-month,Yes,Electronic check
1833,Yes,DSL,Yes,Month-to-month,No,Electronic check
1834,Yes,DSL,No,Month-to-month,No,Electronic check
1835,Yes,DSL,No,Month-to-month,Yes,Electronic check
1836,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1837,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic)
1838,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1839,Yes,No,No internet service,Two year,Yes,Credit card (automatic)
1840,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic)
1841,Yes,No,No internet service,One year,No,Electronic check
1842,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
1843,Yes,No,No internet service,Two year,No,Credit card (automatic)
1844,Yes,DSL,Yes,One year,No,Credit card (automatic)
1845,No,DSL,No,One year,Yes,Bank transfer (automatic)
1846,Yes,No,No internet service,One year,No,Mailed check
1847,Yes,No,No internet service,Two year,No,Credit card (automatic)
1848,Yes,No,No internet service,One year,No,Mailed check
1849,Yes,DSL,No,Month-to-month,Yes,Electronic check
1850,Yes,DSL,Yes,Month-to-month,Yes,Credit card (automatic)
1851,No,DSL,No,Month-to-month,Yes,Electronic check
1852,Yes,DSL,No,Month-to-month,No,Credit card (automatic)
1853,Yes,DSL,No,Month-to-month,No,Electronic check
1854,No,DSL,No,Month-to-month,Yes,Electronic check
1855,Yes,No,No internet service,Two year,Yes,Mailed check
1856,Yes,DSL,Yes,Month-to-month,Yes,Credit card (automatic)
1857,Yes,DSL,Yes,Two year,No,Credit card (automatic)
1858,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
1859,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1860,Yes,No,No internet service,Two year,No,Mailed check
1861,Yes,DSL,No,Month-to-month,No,Mailed check
1862,No,DSL,No,Month-to-month,Yes,Electronic check
1863,Yes,No,No internet service,One year,No,Mailed check
1864,Yes,DSL,No,One year,No,Mailed check
1865,Yes,Fiber optic,No,One year,Yes,Electronic check
1866,Yes,Fiber optic,Yes,One year,Yes,Bank transfer (automatic)
1867,Yes,Fiber optic,No,Month-to-month,No,Electronic check
1868,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
1869,Yes,No,No internet service,Two year,No,Credit card (automatic)
1870,Yes,DSL,No,Month-to-month,Yes,Mailed check
1871,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
1872,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
1873,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
1874,Yes,DSL,Yes,Two year,No,Credit card (automatic)
1875,Yes,Fiber optic,Yes,Two year,Yes,Credit card (automatic)
1876,Yes,Fiber optic,No,One year,Yes,Credit card (automatic)
1877,Yes,DSL,Yes,Two year,No,Credit card (automatic)
1878,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic)
1879,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1880,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1881,No,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
1882,Yes,DSL,Yes,Month-to-month,Yes,Mailed check
1883,Yes,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic)
1884,Yes,DSL,Yes,One year,No,Bank transfer (automatic)
1885,Yes,DSL,Yes,Month-to-month,Yes,Credit card (automatic)
1886,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic)
1887,Yes,Fiber optic,No,Month-to-month,No,Electronic check
1888,Yes,DSL,No,One year,No,Bank transfer (automatic)
1889,No,DSL,No,Month-to-month,Yes,Mailed check
1890,Yes,No,No internet service,Month-to-month,Yes,Electronic check
1891,Yes,DSL,No,Month-to-month,No,Mailed check
1892,No,DSL,No,Month-to-month,Yes,Credit card (automatic)
1893,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
1894,No,DSL,No,Month-to-month,Yes,Electronic check
1895,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic)
1896,Yes,DSL,Yes,Month-to-month,No,Electronic check
1897,Yes,DSL,No,Month-to-month,Yes,Bank transfer (automatic)
1898,Yes,Fiber optic,No,Month-to-month,No,Electronic check
1899,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
1900,Yes,No,No internet service,Two year,No,Mailed check
1901,Yes,No,No internet service,One year,No,Electronic check
1902,Yes,DSL,Yes,Two year,Yes,Credit card (automatic)
1903,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1904,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1905,Yes,No,No internet service,One year,Yes,Mailed check
1906,No,DSL,No,One year,No,Credit card (automatic)
1907,Yes,DSL,Yes,Month-to-month,Yes,Electronic check
1908,Yes,No,No internet service,Two year,No,Credit card (automatic)
1909,Yes,No,No internet service,One year,No,Mailed check
1910,No,DSL,No,Month-to-month,Yes,Electronic check
1911,Yes,Fiber optic,Yes,Two year,No,Credit card (automatic)
1912,Yes,No,No internet service,One year,Yes,Bank transfer (automatic)
1913,Yes,Fiber optic,No,One year,Yes,Electronic check
1914,Yes,DSL,No,Month-to-month,No,Electronic check
1915,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
1916,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1917,Yes,DSL,Yes,Two year,No,Credit card (automatic)
1918,Yes,DSL,Yes,Month-to-month,No,Electronic check
1919,Yes,DSL,No,Month-to-month,No,Mailed check
1920,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic)
1921,Yes,DSL,No,Two year,Yes,Credit card (automatic)
1922,Yes,DSL,No,Month-to-month,No,Electronic check
1923,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
1924,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic)
1925,Yes,DSL,No,Two year,Yes,Bank transfer (automatic)
1926,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1927,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1928,Yes,No,No internet service,Month-to-month,Yes,Mailed check
1929,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1930,Yes,No,No internet service,Month-to-month,Yes,Electronic check
1931,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
1932,Yes,No,No internet service,Month-to-month,No,Mailed check
1933,Yes,No,No internet service,One year,Yes,Mailed check
1934,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check
1935,Yes,No,No internet service,One year,Yes,Bank transfer (automatic)
1936,Yes,DSL,Yes,One year,Yes,Bank transfer (automatic)
1937,Yes,No,No internet service,Two year,No,Mailed check
1938,Yes,No,No internet service,Month-to-month,No,Mailed check
1939,Yes,No,No internet service,Month-to-month,Yes,Mailed check
1940,Yes,DSL,Yes,One year,No,Electronic check
1941,Yes,DSL,No,Month-to-month,No,Mailed check
1942,Yes,No,No internet service,Two year,No,Credit card (automatic)
1943,Yes,DSL,No,Month-to-month,Yes,Credit card (automatic)
1944,No,DSL,No,Month-to-month,No,Mailed check
1945,Yes,No,No internet service,Two year,No,Bank transfer (automatic)
1946,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
1947,Yes,Fiber optic,No,One year,Yes,Bank transfer (automatic)
1948,Yes,Fiber optic,No,Month-to-month,No,Electronic check
1949,Yes,Fiber optic,Yes,Two year,No,Bank transfer (automatic)
1950,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1951,Yes,DSL,No,Month-to-month,No,Credit card (automatic)
1952,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1953,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1954,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1955,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1956,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic)
1957,Yes,DSL,Yes,Month-to-month,No,Electronic check
1958,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1959,No,DSL,No,Month-to-month,No,Electronic check
1960,Yes,Fiber optic,No,Month-to-month,No,Credit card (automatic)
1961,Yes,DSL,Yes,One year,Yes,Bank transfer (automatic)
1962,Yes,Fiber optic,Yes,One year,Yes,Credit card (automatic)
1963,Yes,Fiber optic,No,Month-to-month,No,Bank transfer (automatic)
1964,Yes,DSL,Yes,One year,Yes,Mailed check
1965,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic)
1966,Yes,DSL,No,Month-to-month,No,Credit card (automatic)
1967,Yes,DSL,Yes,One year,Yes,Credit card (automatic)
1968,Yes,Fiber optic,No,One year,Yes,Mailed check
1969,No,DSL,Yes,Two year,No,Electronic check
1970,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1971,Yes,No,No internet service,One year,Yes,Credit card (automatic)
1972,Yes,Fiber optic,No,Month-to-month,No,Electronic check
1973,Yes,DSL,Yes,Two year,Yes,Electronic check
1974,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1975,Yes,No,No internet service,Two year,No,Mailed check
1976,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1977,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1978,Yes,DSL,No,Two year,No,Mailed check
1979,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic)
1980,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1981,Yes,Fiber optic,No,Month-to-month,Yes,Credit card (automatic)
1982,Yes,No,No internet service,Month-to-month,No,Mailed check
1983,Yes,DSL,Yes,One year,No,Mailed check
1984,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1985,No,DSL,No,Month-to-month,No,Mailed check
1986,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
1987,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic)
1988,Yes,Fiber optic,Yes,One year,Yes,Electronic check
1989,No,DSL,Yes,Two year,Yes,Credit card (automatic)
1990,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1991,Yes,DSL,No,One year,No,Credit card (automatic)
1992,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1993,Yes,DSL,No,Month-to-month,Yes,Electronic check
1994,Yes,No,No internet service,One year,No,Mailed check
1995,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
1996,Yes,DSL,Yes,Two year,No,Mailed check
1997,Yes,Fiber optic,No,Two year,Yes,Bank transfer (automatic)
1998,No,DSL,No,Month-to-month,No,Electronic check
1999,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
2000,Yes,Fiber optic,No,Month-to-month,No,Credit card (automatic)
2001,Yes,No,No internet service,Month-to-month,No,Mailed check
2002,No,DSL,Yes,Two year,No,Credit card (automatic)
2003,Yes,Fiber optic,No,Two year,Yes,Electronic check
2004,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
2005,Yes,Fiber optic,No,One year,No,Mailed check
2006,Yes,DSL,No,Month-to-month,No,Electronic check
2007,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check
2008,Yes,Fiber optic,No,Month-to-month,Yes,Mailed check
2009,Yes,DSL,Yes,Two year,Yes,Bank transfer (automatic)
